id,name,badges,categoryName,countReview,discountPercentage,imageUrl,labelGroups,originalPrice,price,ratingAverage,url,shop.shopId,shop.name,shop.url,shop.city,shop.isOfficial,shop.isPowerBadge
2256390685,Wedges Enidas 1807,Power Merchant Pro Badge,Fashion Wanita,0,0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2021/1/31/f17f3e55-8d5e-4e4a-aefa-90bb75d4b992.jpg,Cashback 2rb,,Rp200.000,,https://www.tokopedia.com/tokodqueen/wedges-enidas-1807-nude-38?extParam=ivf%3Dfalse%26src%3Dsearch,2811236,Toko Dqueen,https://www.tokopedia.com/tokodqueen,Jakarta Pusat,False,True
2177034375,Sepatu Kerja Wanita Pantofel Kulit High Heels Sepatu Kantor Htm BKK03,Power Merchant Pro Badge,Fashion Wanita,71,54,https://images.tokopedia.net/img/cache/200-square/product-1/2020/2/2/2181704/2181704_68d65794-ded6-49ad-9563-003d56566d1c_1200_1200.jpg,Terlaris,Rp100.000,Rp46.500,4.7,https://www.tokopedia.com/detector/sepatu-kerja-wanita-pantofel-kulit-high-heels-sepatu-kantor-htm-bkk03-hitam-40?extParam=ivf%3Dfalse%26src%3Dsearch,2181704,DETECTOR,https://www.tokopedia.com/detector,Kab. Bogor,False,True
4039609363,Geovani Anderson - Sepatu Formal Kerja Sepatu Kulit Wanita Flat Casual,Power Merchant Pro Badge,Fashion Wanita,59,0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/5/31/a236f97a-afbc-4e7b-8a53-6ba5f0ec5650.jpg,"Cashback 7,9rb",,Rp159.000,4.8,https://www.tokopedia.com/geovaniofficial/geovani-anderson-sepatu-formal-kerja-sepatu-kulit-wanita-flat-casual-hitam-36?extParam=ivf%3Dfalse%26src%3Dsearch,13791044,Geovani Official Store,https://www.tokopedia.com/geovaniofficial,Kab. Garut,False,True
6459540781,Blow Dere Sneakers Wanita Sport Shoes Sepatu Sekolah BLJIS 0001,Official Store,Fashion Wanita,4,75,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/9/26/ae20a7b6-0d6e-4276-be02-6b82a24dafdc.jpg,Diskon 25rb,Rp599.000,Rp149.000,4.0,https://www.tokopedia.com/shopatblow/blow-dere-sneakers-wanita-sport-shoes-sepatu-sekolah-bljis-0001-cream-40?extParam=ivf%3Dfalse%26src%3Dsearch,6552181,Shopatblow Official Shop,https://www.tokopedia.com/shopatblow,Tangerang Selatan,True,True
7157111248,Sepatu Heels Wanita sendal Hak Tinggi Bahan Kulit elegan,Power Merchant Pro Badge,Fashion Wanita,0,0,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/12/7/966cbea5-455a-4752-b528-56358dc7023e.jpg,"Cashback 4,8rb",,Rp122.000,,https://www.tokopedia.com/zkidsstore/sepatu-heels-wanita-sendal-hak-tinggi-bahan-kulit-elegan?extParam=ivf%3Dfalse%26src%3Dsearch,5017342,Z KIDS STORE,https://www.tokopedia.com/zkidsstore,Jakarta Utara,False,True
9205541647,Sepatu Musim Dingin Winter Thermal Boots Salju Murah Pria Wanita Cewek,Power Merchant Pro Badge,Fashion Wanita,119,0,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2020/9/3/65dd1b30-38f8-4fbf-bc5f-798b0e6b765e.jpg,Terlaris,,Rp209.900,4.9,https://www.tokopedia.com/senjamarket02/sepatu-musim-dingin-winter-thermal-boots-salju-murah-pria-wanita-cewek-maroon-44?extParam=ivf%3Dfalse%26src%3Dsearch,9546487,SENJA MARKET 02,https://www.tokopedia.com/senjamarket02,Jakarta Barat,False,True
3713352154,Sepatu Sneakers Wanita Korea Fashion Import Sport Shoes Casual SP028,Power Merchant Pro Badge,Fashion Wanita,92,0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/4/29/afdb2ea9-a2f4-41f8-8de5-632d5c092e3b.png,"Cashback 2,6rb",,Rp89.900,4.8,https://www.tokopedia.com/ficokenzio13/sepatu-sneakers-wanita-korea-fashion-import-sport-shoes-casual-sp028-grey-37?extParam=ivf%3Dfalse%26src%3Dsearch,1607656,KENZIO STORE,https://www.tokopedia.com/ficokenzio13,Jakarta Barat,False,True
12143697549,Sepatu Docmart Wanita (Big Size 40-41-42-43-44-45) Low Boots Tali,Power Badge,Fashion Wanita,1,0,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/18/d68f35cb-5e7e-4511-a627-ff6549669e12.jpg,1 terjual,,Rp269.900,5.0,https://www.tokopedia.com/jikoploo/sepatu-docmart-wanita-big-size-40-41-42-43-44-45-low-boots-tali?extParam=ivf%3Dfalse%26src%3Dsearch,16496601,Jikoploo,https://www.tokopedia.com/jikoploo,Jakarta Utara,False,True
12053462825,ENIDAS WEDGES SENDAL 1493,Power Badge,Fashion Wanita,0,0,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/8/fd4cf116-8a5d-41e4-90d9-515ab58187a8.jpg,,,Rp313.000,,https://www.tokopedia.com/lissi/enidas-wedges-sendal-1493?extParam=ivf%3Dfalse%26src%3Dsearch,13620959,Lissi Sandal,https://www.tokopedia.com/lissi,Jakarta Barat,False,True
1709334842,flatshoes connexion sepatu wanita terbaru,Power Badge,Fashion Wanita,22,0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/6/a17ed9f1-48a3-4a43-89a8-e4ec1a21f2b4.jpg,30+ terjual,,Rp80.000,4.9,https://www.tokopedia.com/gsmj/flatshoes-connexion-sepatu-wanita-terbaru-hitam-37?extParam=ivf%3Dfalse%26src%3Dsearch,6448535,gsmj,https://www.tokopedia.com/gsmj,Kab. Bantul,False,True
12180661996,Sepatu Clarks new pita woman / clarks flat wanita kulit asli /Sepatu,Power Merchant Pro Badge,Fashion Wanita,0,0,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2023/11/22/0d9e84b8-391c-417f-a28b-b3d1abef7cf2.jpg,,,Rp372.500,,https://www.tokopedia.com/sabiuk/sepatu-clarks-new-pita-woman-clarks-flat-wanita-kulit-asli-sepatu?extParam=ivf%3Dfalse%26src%3Dsearch,16179272,sabiuksoran4455,https://www.tokopedia.com/sabiuk,Surabaya,False,True
6352369623,Sneakers Wanita Hush Puppies Jaycee Lazy Dog Lace Up Blue,Official Store,Fashion Wanita,8,54,https://images.tokopedia.net/img/cache/200-square/hDjmkQ/2022/9/22/5617539e-0af0-4c75-b188-45e7275acdb0.jpg,Cashback 10rb,Rp899.000,Rp413.540,4.8,https://www.tokopedia.com/hush-puppies/sneakers-wanita-hush-puppies-jaycee-lazy-dog-lace-up-blue-blue-36?extParam=ivf%3Dfalse%26src%3Dsearch,4915516,Hush Puppies,https://www.tokopedia.com/hush-puppies,Tangerang,True,True
10521168016,[Preloved] Sepatu Oxford Brogue Wanita (No box)(26 cm),Power Badge,Fashion Wanita,0,0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/7/4/db5eb114-f2bc-4950-ac3e-23e829f3a937.jpg,,,Rp87.000,,https://www.tokopedia.com/irisandpeony/preloved-sepatu-oxford-brogue-wanita-no-box-26-cm?extParam=ivf%3Dfalse%26src%3Dsearch,14788633,Iris and Peony,https://www.tokopedia.com/irisandpeony,Jakarta Utara,False,True
1030605432,Sepatu Safety Wanita / Safety Jogger Bestgirl S3 Ori / Joger Bestgirl,Power Badge,Fashion Wanita,1,0,https://images.tokopedia.net/img/cache/200-square/product-1/2019/12/29/7038914/7038914_2a6d653b-f334-4141-887b-09a22771a43d_1280_1280.jpg,2 terjual,,Rp478.000,5.0,https://www.tokopedia.com/afifsafety/sepatu-safety-wanita-safety-jogger-bestgirl-s3-ori-joger-bestgirl-36?extParam=ivf%3Dfalse%26src%3Dsearch,7038914,AFIF Safety,https://www.tokopedia.com/afifsafety,Jakarta Barat,False,True
2779011602,Pluvia HARSHA Sepatu Flat Shoes Wanita Slip On Mules,Official Store,Fashion Wanita,28,53,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/1/24/5acefeab-fbb1-40c4-875d-5d10e4a5388b.jpg,"Cashback 1,5rb",Rp320.000,Rp150.000,4.9,https://www.tokopedia.com/pluviashoes/pluvia-harsha-sepatu-flat-shoes-wanita-slip-on-mules-hitam-37?extParam=ivf%3Dfalse%26src%3Dsearch,374440,Pluvia Shoes,https://www.tokopedia.com/pluviashoes,Bogor,True,True
2999771465,Sepatu Flat Wanita S36-41 Yumeida Flat shoes Murah,Power Merchant Pro Badge,Fashion Wanita,5,0,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2022/2/18/f0bfab79-8a01-40be-b01e-5db91f7b7e2d.jpg,Grosir,,Rp35.000,4.4,https://www.tokopedia.com/grosiransandal1/sepatu-flat-wanita-s36-41-yumeida-flat-shoes-murah?extParam=ivf%3Dfalse%26src%3Dsearch,2561447,GROSIRAN SANDAL MURAH,https://www.tokopedia.com/grosiransandal1,Kab. Bogor,False,True
12469903108,910 NINETEN SEPATU LARI RUNNING OLAHRAGA HIROSHI HITAM ABU ABU BNIB,Power Merchant Pro Badge,Olahraga,2,15,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2024/1/5/ec6032d0-183d-4b13-9ec7-d8e7c739b5f6.jpg,"Cashback 5,5rb",Rp649.900,Rp552.000,5.0,https://www.tokopedia.com/cross-sport/910-nineten-sepatu-lari-running-olahraga-hiroshi-hitam-abu-abu-bnib?extParam=ivf%3Dfalse%26src%3Dsearch,325098,Cross Sport,https://www.tokopedia.com/cross-sport,Jakarta Pusat,False,True
11837996195,Sepatu Olahraga Lari/Running Pria Kode Working Size 39 s/d 43,Official Store,Olahraga,68,21,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/10/14/59d4deb8-a65a-4819-9c13-79e86b5854a9.jpg,"Cashback 12,1rb",Rp140.000,Rp110.000,4.9,https://www.tokopedia.com/workingsneakersforyou/sepatu-olahraga-lari-running-pria-kode-working-size-39-s-d-43-hitam-43-c6674?extParam=ivf%3Dtrue%26src%3Dsearch,15238545,WORKING SNEAKERS FOR YOU OFFICIAL SHOP,https://www.tokopedia.com/workingsneakersforyou,Kab. Mojokerto,True,True
10415535045,Sepatu JBS 101 Sport Tali Putar / Sepatu Sport YOW / BOA Lacing System,Power Merchant Pro Badge,Olahraga,44,36,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/12/29/6d73560a-cae9-4695-86b5-8ad773331c84.jpg,"Cashback 5,4rb",Rp425.000,Rp272.500,4.9,https://www.tokopedia.com/delta86/sepatu-jbs-101-sport-tali-putar-sepatu-sport-yow-boa-lacing-system-40-302ec?extParam=cmp%3D1%26ivf%3Dfalse%26src%3Dsearch,2892757,DELTA 86,https://www.tokopedia.com/delta86,Jakarta Barat,False,True
7569864766,Sepatu Pria Badminton Khamzo Original Casual Premium Sport Fashion,Official Store,Olahraga,398,58,https://images.tokopedia.net/img/cache/200-square/VqbcmM/2023/1/17/cb565188-938f-474f-922b-061c0f3b9d22.jpg,Diskon 7rb,Rp300.000,Rp125.000,4.8,https://www.tokopedia.com/khamzo/sepatu-pria-badminton-khamzo-original-casual-premium-sport-fashion-hijau-biru-43?extParam=ivf%3Dtrue%26src%3Dsearch,12270194,Khamzo,https://www.tokopedia.com/khamzo,Kab. Jombang,True,True
